1 101 201 301 401 501 601 701 801 901 
17 119 269 346 450 561 634 753 803 928 
69 171 229 324 464 562 628 745 846 975 
70 131 270 313 465 563 612 720 825 957 
12 172 248 322 413 535 632 747 867 924 
33 140 256 324 466 506 615 769 868 976 
44 167 271 365 463 511 659 775 807 977 
71 129 271 367 467 545 632 768 824 924 
16 173 272 339 423 564 673 707 869 939 
60 161 219 340 446 523 648 745 870 964 
72 109 242 325 441 514 632 763 802 928 
73 119 268 317 468 565 674 704 803 978 
35 152 273 339 407 566 640 751 829 966 
28 123 274 371 409 514 666 709 871 922 
48 121 268 351 469 540 602 776 814 932 
74 174 275 326 467 567 652 748 842 979 
75 175 227 338 470 568 675 710 872 935 
32 120 255 319 450 521 662 709 826 903 
76 142 276 347 471 551 676 775 820 907 
20 114 233 306 472 525 649 771 864 950 
33 176 277 321 441 560 644 757 822 979 
41 141 225 361 473 545 637 774 873 914 
7 177 271 372 457 569 677 777 834 937 
77 178 271 318 436 551 619 778 845 967 
78 165 216 373 405 570 678 776 861 965 
23 154 229 369 466 571 660 735 831 941 
24 159 248 317 439 555 633 779 804 980 
42 152 236 346 474 572 679 702 874 945 
37 159 256 368 465 573 635 726 841 981 
79 109 229 307 475 566 621 703 832 907 
80 178 250 368 420 574 644 771 875 941 
59 113 278 374 407 575 634 744 834 909 
79 168 252 332 424 547 601 780 875 982 
64 124 253 335 472 523 661 713 826 907 
8 179 216 310 462 513 654 701 876 926 
63 134 268 313 475 576 615 744 877 955 
11 106 276 349 445 577 640 711 816 942 
21 120 279 331 401 571 634 775 878 961 
1 120 227 360 476 538 661 712 824 954 
12 174 280 354 472 552 680 761 820 975 
57 179 212 375 460 568 630 781 860 928 
81 154 276 376 453 577 681 782 879 940 
44 166 279 358 477 524 627 732 840 983 
82 137 267 360 446 571 654 783 826 930 
77 115 245 307 476 560 682 705 840 932 
28 171 214 347 456 537 643 721 830 984 
83 107 233 317 478 502 609 784 878 954 
14 161 281 323 427 523 667 753 880 914 
23 114 262 376 444 527 642 740 853 985 
9 126 229 328 440 539 666 782 820 908 
1 180 282 365 440 535 642 758 843 986 
44 128 283 318 419 561 659 709 881 986 
16 165 284 377 470 506 626 741 845 987 
61 177 285 367 479 519 616 734 869 909 
36 181 286 378 480 578 637 731 882 969 
75 182 212 379 481 559 683 758 859 984 
18 131 230 320 429 579 616 779 844 907 
42 183 280 358 454 539 632 745 804 908 
63 171 250 335 405 501 628 783 839 916 
41 110 220 380 482 543 656 760 822 945 
65 106 247 301 483 527 621 781 829 983 
35 122 273 372 425 580 620 712 812 937 
9 138 202 336 409 523 608 739 882 942 
74 156 258 381 484 542 679 744 871 960 
46 165 224 382 406 508 684 761 821 988 
84 184 263 349 475 573 662 745 853 925 
85 142 287 372 435 554 685 718 883 989 
10 113 267 346 448 563 621 785 818 988 
86 120 201 351 454 581 626 720 839 926 
32 131 269 383 423 578 640 702 852 976 
57 128 222 376 481 582 611 705 865 945 
24 143 288 372 467 525 650 758 874 980 
84 179 202 377 442 526 608 762 858 902 
45 152 205 345 468 569 621 702 801 918 
47 155 289 312 406 583 645 717 884 955 
51 114 219 379 478 564 675 720 807 939 
66 185 225 321 449 582 639 709 831 920 
55 102 275 310 483 580 640 785 833 990 
51 121 247 336 475 536 606 739 822 951 
74 164 226 378 463 556 679 758 851 955 
7 125 219 317 448 513 602 720 814 916 
75 118 290 384 454 584 627 706 875 902 
42 143 202 305 442 553 635 733 834 991 
66 117 206 321 415 526 686 765 804 982 
87 173 234 342 407 563 662 719 846 937 
38 102 242 312 449 554 610 758 885 959 
15 186 244 319 468 585 668 762 864 931 
77 171 209 314 458 572 621 707 807 955 
80 128 242 315 485 536 621 735 886 937 
88 156 227 385 413 511 641 727 838 924 
50 187 288 334 414 530 687 778 887 954 
65 156 264 386 479 527 652 761 807 913 
42 149 205 387 435 586 677 755 860 954 
89 104 275 374 406 514 637 738 888 980 
59 183 276 347 422 522 685 781 886 980 
84 177 249 346 432 514 663 786 802 912 
70 154 240 366 474 581 674 735 868 963 
84 119 291 319 470 544 688 722 831 937 
19 157 212 349 433 587 656 760 841 951 
72 135 280 319 486 550 610 769 883 934 
65 138 237 368 456 546 633 787 837 932 
35 163 236 349 487 572 660 701 869 930 
90 167 273 369 416 542 685 758 802 946 
19 103 201 310 488 552 689 752 854 946 
91 122 210 388 410 578 637 773 870 955 
86 125 263 346 442 554 633 788 825 940 
47 135 253 328 405 585 678 713 804 973 
10 182 282 352 407 534 686 770 831 931 
11 150 220 326 429 550 617 708 824 919 
15 170 215 328 420 505 661 707 841 932 
61 146 265 372 436 555 649 711 805 947 
67 188 203 317 461 526 679 773 848 914 
34 101 220 308 407 573 652 746 874 969 
92 139 278 316 486 588 624 762 821 928 
71 164 247 311 489 530 676 749 802 943 
46 140 246 370 461 589 612 752 837 960 
8 105 258 325 409 540 688 740 862 983 
16 168 261 320 468 572 606 773 873 965 
1 117 232 317 429 540 670 713 802 909 
14 121 215 342 404 533 635 789 888 990 
31 189 230 349 488 527 689 710 872 970 
85 173 222 343 489 534 680 744 883 974 
7 190 226 310 448 527 684 719 882 937 
93 130 284 389 475 579 613 731 847 992 
81 143 250 304 469 546 608 744 860 926 
17 101 278 349 490 569 614 754 812 921 
48 116 292 354 466 549 657 785 889 979 
42 190 287 385 436 517 685 777 823 947 
36 171 291 311 465 525 624 713 808 974 
7 152 293 325 450 527 618 790 847 939 
49 134 224 379 455 588 638 741 813 970 
90 124 279 367 443 502 661 736 864 947 
49 155 280 321 435 541 628 702 801 912 
38 140 222 354 417 513 638 768 855 919 
77 155 244 390 462 509 628 791 820 952 
79 124 247 349 462 582 690 792 868 960 
44 178 218 331 422 590 674 770 862 983 
71 173 278 335 432 571 659 790 841 951 
68 189 233 310 438 517 658 724 820 950 
24 129 229 387 482 532 674 732 890 912 
82 182 243 310 449 524 675 793 891 913 
54 132 215 379 435 546 628 722 841 937 
77 135 214 338 484 528 676 752 847 955 
47 191 259 371 491 506 658 762 861 958 
64 166 246 391 473 522 642 762 853 956 
94 117 238 374 413 518 658 792 811 915 
73 107 293 343 414 574 637 734 809 949 
46 158 205 380 431 539 617 761 830 906 
59 145 212 362 492 579 685 732 847 964 
61 169 292 379 445 522 621 734 870 940 
89 171 249 371 406 545 667 744 839 975 
13 178 276 374 485 536 686 739 868 992 
76 117 256 368 475 569 683 752 857 992 
71 183 284 358 407 528 656 782 867 913 
23 128 229 307 418 539 623 780 818 983 
78 147 210 324 493 588 688 728 824 982 
57 157 275 326 431 528 676 792 858 923 
41 128 233 391 489 576 653 794 803 918 
20 155 265 347 494 521 620 708 837 967 
12 142 292 390 408 521 670 756 805 992 
25 101 261 358 441 541 691 741 864 982 
59 142 226 379 471 555 634 719 860 921 
18 142 292 307 404 550 610 708 821 960 
88 183 280 339 477 523 692 736 810 977 
57 101 206 345 463 549 619 789 892 929 
82 140 244 371 466 577 682 788 831 955 
22 123 294 308 478 579 631 707 808 965 
34 145 204 328 414 542 692 719 877 924 
40 131 217 378 452 586 688 787 850 934 
4 115 233 379 495 501 640 781 880 949 
95 140 295 314 487 540 637 793 811 943 
17 192 259 306 494 544 618 783 815 959 
13 146 282 333 446 542 636 781 877 955 
44 168 289 322 492 532 693 718 805 931 
25 177 240 392 403 522 664 727 893 926 
58 122 280 306 496 562 627 718 854 963 
96 139 281 385 469 521 692 730 826 982 
29 144 278 323 466 562 634 723 882 977 
7 157 280 367 407 523 667 775 863 922 
56 174 245 371 479 548 694 785 855 947 
20 123 281 345 431 538 635 795 883 925 
15 193 243 317 414 559 610 709 852 944 
52 194 267 372 490 547 637 794 884 943 
18 116 238 391 419 572 620 785 890 975 
97 190 262 332 404 532 618 715 813 973 
80 185 276 393 436 561 695 720 850 982 
6 195 251 312 470 555 662 740 885 946 
16 126 245 333 440 507 609 746 888 985 
88 102 265 310 443 560 631 731 865 919 
82 187 241 312 461 591 684 795 843 964 
32 139 264 333 487 519 624 739 864 943 
56 106 233 360 492 509 627 711 813 948 
38 171 269 343 451 559 619 760 820 908 
15 116 273 349 436 569 678 772 881 988 
25 138 226 387 434 575 648 780 826 957 
98 104 222 305 412 545 675 796 846 966 
37 123 201 310 470 588 612 749 859 931 
73 168 220 366 402 513 696 769 815 979 
5 149 241 384 439 576 676 748 884 967 
96 156 287 365 450 592 677 712 851 928 
30 160 210 391 433 536 684 761 816 958 
93 137 214 377 404 581 640 726 885 955 
35 196 228 383 441 523 634 774 823 942 
57 190 235 360 480 566 606 774 887 993 
25 176 243 356 447 552 683 714 830 934 
3 128 255 375 489 512 689 782 845 925 
99 172 293 341 410 506 670 703 893 962 
19 111 291 336 473 563 650 750 854 909 
50 190 249 311 426 515 670 710 804 943 
89 188 254 312 435 544 639 725 864 971 
19 195 241 394 420 591 697 771 856 994 
43 196 255 368 476 505 608 720 858 924 
3 167 202 355 456 513 654 746 861 983 
9 184 232 394 479 578 605 736 839 933 
33 193 210 349 401 578 648 721 809 995 
51 105 251 380 448 540 626 745 883 972 
82 104 253 390 474 530 623 722 871 915 
46 127 254 383 427 534 624 783 888 996 
10 193 271 363 495 537 622 734 824 932 
8 106 289 391 443 535 613 712 843 990 
93 170 236 309 461 528 634 770 850 929 
61 142 238 379 483 574 688 773 835 927 
10 197 289 368 439 504 692 758 821 937 
92 150 258 336 468 589 637 710 844 991 
27 101 242 313 478 585 614 725 843 962 
57 198 272 368 493 515 617 794 880 949 
88 164 289 366 436 540 682 731 888 909 
47 168 225 359 440 522 687 787 894 940 
91 131 262 359 425 531 659 791 856 955 
49 167 283 313 483 593 637 762 826 971 
71 199 273 358 471 594 661 724 805 980 
41 120 203 380 415 512 622 753 838 926 
32 104 245 351 401 536 696 766 878 981 
5 169 278 354 446 542 680 761 872 906 
27 107 255 361 429 555 609 722 891 941 
42 171 229 384 402 568 604 745 873 957 
42 196 271 333 407 548 614 744 831 924 
66 113 249 387 497 502 650 761 839 979 
37 160 259 313 416 527 663 714 808 991 
85 179 228 301 413 518 691 797 881 928 
99 130 221 395 408 535 694 704 845 946 
37 129 250 326 461 591 657 739 805 916 
51 160 271 375 430 518 619 705 838 916 
16 180 230 354 497 521 676 744 875 928 
14 185 284 396 487 508 606 798 870 971 
44 105 230 343 490 521 656 740 830 920 
85 113 264 366 492 539 642 722 821 946 
81 163 214 344 484 519 603 799 813 987 
98 154 237 329 440 575 626 702 844 915 
27 123 231 361 441 508 622 760 808 969 
9 193 215 342 498 547 655 794 895 981 
94 195 283 377 497 576 653 783 842 968 
98 187 293 307 424 552 655 758 815 931 
7 133 262 361 442 579 618 734 834 906 
79 122 275 367 464 518 695 755 889 988 
40 138 245 336 418 553 670 784 893 952 
71 116 233 391 441 589 661 780 804 926 
76 163 294 325 489 588 647 701 847 918 
12 110 296 329 410 527 633 703 896 928 
57 177 232 312 427 561 685 722 891 991 
90 141 218 317 412 502 609 752 878 947 
36 120 267 394 495 554 668 727 880 962 
16 156 239 354 447 574 646 796 865 932 
77 108 268 350 491 569 670 779 807 989 
75 101 221 304 423 578 625 775 802 997 
49 167 205 371 442 591 698 712 897 913 
34 159 226 360 440 521 645 724 813 981 
42 126 287 326 416 531 687 738 859 902 
5 102 268 376 450 554 628 780 894 980 
58 122 218 350 429 581 613 720 825 959 
81 106 228 365 436 575 607 755 805 961 
58 153 296 357 493 557 622 730 898 960 
47 197 258 370 414 582 617 761 805 962 
65 175 205 321 407 520 621 800 824 956 
36 174 239 383 473 549 693 711 853 944 
35 122 271 349 493 537 632 767 881 996 
53 149 232 321 403 537 661 756 810 998 
65 119 212 352 404 550 669 709 894 985 
92 141 219 371 441 593 624 758 843 972 
18 117 294 303 408 575 647 800 865 923 
18 122 278 366 433 533 624 731 815 989 
88 124 245 394 479 537 603 770 882 953 
67 145 245 319 432 555 644 776 864 939 
82 146 210 378 422 555 666 783 825 926 
39 153 297 313 409 540 660 726 808 910 
77 169 283 330 447 507 622 709 804 972 
41 118 243 346 482 566 657 709 886 920 
23 169 220 375 445 507 630 728 808 994 
36 109 280 397 492 567 616 769 842 991 
5 163 205 352 493 526 628 785 878 934 
67 151 244 353 440 541 666 737 804 908 
85 127 206 358 439 588 658 782 888 933 
48 139 263 322 457 542 607 794 807 920 
50 163 272 355 443 506 643 721 850 983 
10 135 223 325 420 503 615 745 848 902 
66 106 296 343 422 558 688 726 888 991 
94 162 221 373 414 519 631 757 847 960 
68 140 236 383 498 503 675 746 861 971 
33 108 240 357 429 595 602 776 860 982 
40 146 264 344 484 579 664 785 886 932 
11 154 226 320 453 563 642 760 844 924 
98 114 282 390 446 519 605 775 871 999 
34 142 225 398 414 596 675 723 846 922 
12 121 234 317 497 583 688 730 850 971 
51 169 264 353 417 533 620 726 888 962 
1 177 281 321 477 518 665 717 860 911 
18 101 221 388 473 536 668 735 861 958 
55 193 259 370 429 588 628 800 889 972 
1 181 248 319 425 524 602 759 854 982 
24 113 273 383 439 596 689 771 820 928 
89 116 229 354 488 528 621 709 863 976 
72 193 244 364 405 542 610 761 806 986 
65 150 298 390 448 559 630 790 873 965 
65 124 227 340 423 596 699 750 826 991 
11 148 243 361 423 554 637 789 865 932 
18 109 296 315 424 577 678 720 871 907 
84 200 280 310 453 572 614 767 818 982 
42 198 254 379 405 513 605 746 855 953 
86 106 280 384 490 533 609 775 899 937 
30 146 223 344 487 565 630 761 809 943 
75 192 231 329 413 508 664 788 814 991 
44 120 281 379 460 565 658 716 881 999 
22 131 243 313 448 597 630 756 845 930 
91 109 252 346 476 524 631 719 896 953 
44 137 223 365 409 576 682 721 813 974 
21 119 282 371 476 579 636 756 807 929 
75 179 218 339 409 539 668 755 861 945 
64 119 218 328 457 588 691 710 843 969 
15 174 292 307 448 589 640 707 834 945 
47 148 283 389 472 510 609 769 811 930 
62 129 266 388 410 545 686 758 897 981 
14 122 205 391 426 527 647 758 811 955 
76 156 287 318 417 548 633 760 812 997 
10 142 258 308 461 558 685 724 898 971 
21 200 249 386 416 528 622 721 891 940 
17 105 218 381 413 587 602 800 819 935 
4 123 219 353 456 557 608 718 840 927 
49 138 294 348 422 598 633 712 882 980 
50 150 277 343 443 533 616 794 859 958 
20 144 250 327 408 586 624 767 813 978 
61 154 218 391 477 569 625 727 817 969 
48 140 279 324 406 559 615 794 801 904 
100 128 280 313 407 555 672 772 814 999 
45 174 202 344 443 526 655 730 897 935 
27 152 228 381 468 514 669 713 810 985 
6 120 240 367 457 566 606 707 836 970 
46 167 297 337 465 567 641 769 887 983 
23 183 262 391 445 516 672 746 849 927 
46 188 269 394 454 558 618 741 890 932 
60 137 277 397 482 530 602 770 870 961 
69 132 202 391 482 558 617 711 897 998 
17 181 275 373 497 512 630 776 898 915 
22 175 288 304 415 544 673 719 813 960 
54 198 213 304 413 579 602 755 838 935 
27 159 250 356 487 518 654 773 806 999 
87 163 248 330 433 589 669 750 840 987 
49 187 205 372 435 585 670 784 846 913 
78 133 209 373 419 504 603 718 861 963 
22 133 215 344 490 592 676 754 851 967 
98 122 231 363 489 533 607 783 808 945 
11 144 280 348 442 557 616 785 851 908 
22 180 242 391 466 573 650 738 815 926 
43 147 292 375 467 504 657 759 858 940 
24 164 297 330 476 599 631 745 858 911 
100 145 239 351 402 520 677 798 866 953 
77 162 227 335 484 556 604 759 855 933 
66 187 227 313 474 585 672 741 806 984 
79 169 210 356 429 550 679 744 896 982 
76 193 227 391 438 546 669 759 854 925 
44 187 239 326 468 506 687 731 875 928 
10 131 256 302 477 516 627 721 889 912 
52 160 212 372 403 581 670 769 837 982 
32 198 295 332 472 520 627 757 822 942 
97 146 231 332 495 589 665 752 848 942 
9 144 241 334 405 507 691 745 808 918 
32 128 227 334 464 530 693 727 823 975 
57 155 227 367 445 542 601 721 818 921 
8 116 210 309 420 550 699 712 817 937 
76 184 281 326 479 508 657 729 867 922 
33 174 212 399 414 559 627 750 897 926 
68 155 221 362 405 514 675 749 830 901 
86 123 289 369 448 592 674 781 890 932 
18 161 280 399 444 536 662 774 898 980 
3 111 230 308 433 510 673 761 859 901 
10 132 299 340 405 539 619 720 873 979 
40 161 284 336 460 533 649 755 893 974 
6 140 238 316 422 528 656 708 855 927 
10 128 219 351 475 579 693 711 810 997 
4 136 295 397 413 588 644 758 822 960 
78 173 226 393 455 575 655 740 880 920 
96 190 210 372 479 510 647 770 816 948 
42 107 280 393 494 547 695 797 865 936 
9 197 257 328 412 578 655 726 802 958 
27 134 267 325 414 542 640 752 818 928 
26 104 265 308 493 511 641 750 862 993 
70 143 225 348 468 511 652 762 829 923 
77 125 228 325 419 537 670 716 850 974 
91 113 259 320 434 580 653 777 806 928 
50 198 283 311 454 550 672 767 882 989 
55 115 290 378 405 582 607 773 895 987 
14 155 203 304 426 582 687 748 858 904 
72 105 255 400 403 600 621 729 876 929 
1 123 205 374 491 517 687 709 876 908 
43 142 236 398 438 577 605 778 843 946 
21 173 283 380 484 579 669 737 870 947 
96 198 258 359 499 539 650 737 892 964 
100 118 239 328 492 562 610 773 827 938 
60 151 256 339 412 565 654 791 875 994 
88 187 299 387 429 520 605 795 871 910 
10 146 280 323 443 599 697 756 880 990 
30 167 259 340 410 539 614 762 839 932 
17 138 287 311 413 516 690 740 892 904 
10 124 211 324 404 522 660 701 813 903 
19 102 237 389 425 572 645 767 882 990 
46 137 205 306 443 579 643 790 862 927 
37 130 252 345 448 567 601 766 891 963 
85 196 288 389 404 536 607 742 888 916 
70 172 253 370 422 505 643 797 860 965 
60 152 245 329 483 509 661 747 807 901 
93 142 230 382 429 567 620 797 889 939 
73 161 227 326 492 597 646 757 846 932 
16 162 242 361 443 513 604 729 820 991 
90 131 260 398 414 508 644 761 858 959 
50 166 226 368 419 519 660 712 881 982 
23 135 224 359 440 591 602 717 870 924 
21 181 226 394 405 572 628 707 854 982 
5 123 256 349 420 585 693 769 802 974 
35 198 216 356 469 533 699 742 810 938 
18 179 217 323 416 506 700 776 841 923 
9 146 244 334 466 505 691 712 812 927 
43 197 208 331 445 592 609 774 830 902 
28 155 288 349 427 554 625 734 860 928 
51 193 242 349 406 551 603 727 870 985 
13 176 262 318 442 545 627 759 841 960 
64 180 207 354 438 538 698 732 856 903 
63 125 243 314 457 520 663 708 841 943 
42 164 211 355 484 524 685 747 851 909 
40 128 295 304 463 588 629 791 857 939 
28 122 276 345 462 568 603 768 860 906 
56 200 246 319 407 559 687 800 850 954 
57 122 274 318 421 517 625 740 806 959 
46 182 291 359 425 551 602 783 873 966 
8 135 233 371 436 522 607 761 807 957 
59 141 284 312 433 547 638 736 813 981 
89 184 234 312 414 566 612 726 847 961 
21 186 281 337 413 587 627 703 863 986 
91 152 202 316 496 568 647 758 804 936 
14 102 277 328 471 530 648 771 821 950 
65 173 215 371 447 539 686 711 867 986 
47 118 293 319 462 512 670 733 805 908 
29 154 262 387 461 568 656 735 877 973 
87 117 216 352 489 584 631 706 804 985 
48 114 230 339 412 557 632 745 878 939 
97 125 265 329 459 549 682 734 838 920 
97 110 281 345 409 557 688 731 861 934 
1 187 210 398 429 546 641 780 806 975 
28 172 271 309 413 547 604 720 854 912 
44 157 266 307 406 559 653 786 883 948 
82 159 248 347 408 507 647 777 852 956 
21 132 291 376 411 599 615 727 840 987 
24 125 295 312 428 583 696 785 845 922 
28 110 293 312 500 525 663 757 821 901 
9 148 253 389 497 563 651 749 873 946 
82 169 264 343 407 567 662 728 830 943 
53 191 288 329 436 509 641 723 870 991 
61 137 235 358 447 540 657 769 897 907 
4 126 284 321 463 564 639 753 829 910 
62 143 238 344 437 592 607 736 845 905 
90 106 282 325 416 558 619 775 833 946 
44 111 244 332 493 509 607 774 830 965 
29 101 245 306 458 538 602 708 869 988 
87 168 230 368 480 558 608 743 846 950 
46 187 252 326 404 552 637 761 805 957 
61 177 218 344 404 529 664 762 872 919 
87 182 268 371 405 545 609 705 802 924 
90 168 276 356 434 539 668 787 801 926 
8 192 282 397 452 580 635 727 858 999 
95 197 228 399 412 572 688 776 900 912 
26 147 219 322 404 591 653 702 894 970 
7 115 202 338 478 584 602 742 831 920 
81 115 258 314 402 532 685 724 840 987 
57 199 205 349 420 517 689 703 821 988 
54 125 249 324 464 549 684 725 862 976 
21 195 208 328 499 531 663 729 877 959 
40 177 278 374 472 585 672 738 882 999 
19 121 255 366 470 566 648 720 892 922 
29 160 207 305 485 572 624 765 809 971 
56 149 224 303 493 529 678 759 869 984 
14 152 231 346 456 536 651 761 886 925 
52 181 264 345 456 507 688 704 854 958 
13 193 217 397 403 575 612 795 896 985 
83 186 220 366 403 560 630 743 888 921 
46 186 246 311 414 539 661 722 887 975 
64 111 239 399 463 554 688 786 851 956 
65 198 209 328 406 585 645 764 885 941 
33 152 207 354 494 573 609 787 889 962 
34 152 209 343 425 572 614 785 857 928 
7 120 291 362 475 523 682 760 838 930 
1 118 219 333 448 515 668 729 849 989 
45 119 255 384 437 582 615 772 854 986 
1 160 280 393 457 504 636 736 891 976 
84 181 292 375 476 592 643 750 877 949 
8 170 276 313 427 594 681 736 812 991 
55 101 234 352 499 573 628 792 836 943 
83 197 278 349 422 502 636 765 840 935 
67 169 237 368 445 598 648 722 865 937 
31 184 272 320 489 593 696 701 888 945 
78 142 267 315 461 536 681 772 861 976 
53 193 263 384 481 581 640 710 876 965 
42 130 276 314 456 547 619 733 825 906 
94 112 210 328 422 581 700 723 889 902 
22 188 246 323 422 577 697 789 844 944 
58 182 267 333 405 512 677 780 899 982 
86 156 295 352 480 516 634 736 841 917 
88 136 255 348 473 509 631 733 864 924 
26 140 227 305 405 586 651 746 856 980 
77 143 254 326 498 525 649 786 817 960 
78 132 218 322 495 530 699 763 856 920 
27 186 268 371 408 558 696 736 860 904 
60 107 250 309 475 598 685 743 823 910 
27 156 278 326 433 520 612 785 806 919 
28 146 214 373 485 523 682 731 810 977 
51 109 292 398 403 562 621 745 865 934 
57 158 233 313 403 529 671 710 894 977 
28 123 288 340 445 566 637 771 891 904 
84 118 255 332 406 572 692 766 899 980 
59 126 218 353 487 541 660 729 869 952 
36 114 288 325 413 579 659 727 884 939 
1 150 225 354 436 575 664 789 871 983 
50 108 246 346 479 577 621 748 885 932 
56 125 216 370 441 510 653 739 819 914 
88 133 201 398 415 574 693 746 831 948 
49 166 203 392 421 575 607 763 821 934 
67 151 267 316 494 568 651 733 846 933 
48 103 225 395 456 579 650 755 868 919 
1 166 275 386 406 529 607 785 830 964 
3 132 274 346 459 537 640 749 821 993 
45 155 273 331 436 574 653 728 860 989 
57 155 299 317 422 567 700 781 871 983 
21 134 203 328 492 516 623 741 897 959 
28 176 292 354 429 561 644 736 858 952 
42 167 289 397 449 547 684 740 813 906 
55 187 263 312 499 568 661 703 819 989 
60 163 244 325 476 521 666 722 828 944 
42 124 224 394 436 515 606 776 817 937 
15 143 272 366 414 542 680 718 875 985 
57 149 296 336 405 518 653 775 841 967 
89 159 216 321 426 516 615 794 810 970 
